@RELATION comment
@ATTRIBUTE comm string
@ATTRIBUTE ratio pos numeric
@ATTRIBUTE ratio neg numeric
@attribute classe {-1,1}
@data
"Not only obviously also using several distracting obviously less skilled privy surrounding disappointed see major paid 40 000 s educational basically promote advertise own liberal pushed lesser sensationalized equally biased objectionable promoting claiming tried kill Not only preposterous major obviously personal followed very closely all major noted came went credible banked jump-start even dropped help accelerate severe roughly 60 other 2004 diluted rather common American interested due promoted religious conservative n't seem well founded Even Divided somewhat voted overwhelmingly thus more politically unified other more indicative ideological humorous religious supposed hilarious 1973 beaten ",36, 63,?
"so bad terrible awful stress enough acting directing bad so corny n't fooled laugh frogging kidding ridiculous first 2 good main OK now turn got ugly annoying immature unoriginal fake too fast forward most so terrible just wanted see bad died n't worth Just looking seriously worst n't deserve ",36, 63,?
"aged 14-16 see only allowed 18 heard very scary so cool watched very sad n't see good bad one worst saw Every open impossible come decent stupid just made make scared smart know exactly scared finished turned told loud total stupid looked strange make home-video only right ",36, 63,?
"Yet tortured self-centered arrogant unfeeling hateful self-destructive supposed care about n't get wrong very open lead strongly self-destructive one so little did dealt more managed elicit just unpleasant hateful not tragic just hateful taking great make crazy anti-social possible making possible then make happy ending not worst ever seen there putting good n't waste ",36, 63,?
"give one unfortunately give single laugh about did n't make laugh either So ill retarded go local watch give 10 here already did shot dead achieve good third wasted see definitely last 0-10 ashamed same ",36, 63,?
"surely one worst ever made painful groan flimsy awkward work ridiculous wooden acting only one not dreadful ",36, 63,?
"Trot heard see all starred ridiculous Finally changed thank hopefully long amateurish used limp very unfunny really did n't understand did 300-pound sitting that painful only did n't give negative n't let ",36, 63,?
"worst ever paid see Saved worst ever seen came big therefore anticipating thought funniest produced did not deal thought throw cheap hey risky laughable nothing more cheap unimaginable stupid take involving single just plain bad high suitable bland using tasteless french walking blind constantly uttering well only funny involved lasted whole 60 read entire stoned 1970 like high Well most not stoned 70 inept stoned drowsy There 4 other saw did not get yet about bad ",36, 63,?
"up there good good such took many following boring pathetic became redundant retarded ridiculous first twenty gone played one favorite looking forward seeing seeing acting come stay playing dumb as dull poor unreal liked decided enjoyed other not main did n't many now n't made central many thus meaning put incredibly annoying whining So seeing used loosely hearing much more appreciated now say white getting ready jump twenty ",36, 63,?
"far worst ever seen barely made n't scary scary loud screaming stop sh1tty else agreed shouted rolled worst ever made go 1 2 3 made 3rd showed frightening absolute Same made topped worse put together ",36, 63,?
"run all around armed did work go got one most unrealistic worst real ever foisted unsuspecting see needed pay back good doing worse low 50 never get back Avoid veritable ",36, 63,?
"see walking peaking done two recent four choppy poorly done only two freaky appreciate invaded personal two Speaking as flat 64 drawing pulled various friendly aged kooky living most disturbing murdered rather explore interesting just dead hard reconciling other rarely flowed together flashing dead interjected here there eerie also overdone creaking n't seen Again see amazing over again NOTE scary only scary not repeated 5 same calling ",36, 63,?
"uninteresting unlikeable flimsy interesting only bring care twisting turning not keep even remotely centered other very nice left only real big convinced do never released all-star inclined think indeed ",36, 63,?
"biggest seen long last hated so much watching 28 later There absolutely see really sick twisted relieving single use least extremely cheap acting very low eventually turned about tried give save ",36, 63,?
"Remember chain-smoking exposed 60 few ago reviewed checking using phony very successfully disclosing financial philosophical channeling new day-old elsewhere convince n't give tiptoe howling then maybe think dropped well spent ",36, 63,?
"not very worst ever did surely most depressing especially just undergone hardly better most strangely disturbing jolted electrical collapsing supporting also tired run offensive even constant One bright one last major portray so insultingly one surprisingly cheap soupy drab even whiz-bang cut-rate Only stunning tall thin nervous wet add sad eerie great even eerier dying ",36, 63,?
"seen four other Japanese n't too impressive sense sensible guiding Not here about trying tie together similar happening question seeing Then follow around enough Oh no switching different n't much do seen other different Not here Also happening actually tolerable quickly there few slight instrumental up then just aware dramatic definitely not here just bad editing Finally just not scary unintentionally funny annoying done before better see all coming Then one swept sense all felt wasted did mock ensued better whole put AVOID ",36, 63,?
"well very sloppy sloppier editing made worse least editing acting n't bad n't good pretty much likable least 45 wasted other so not used anywhere full great yet wasted good ended 3 different just kept going mostly predictable n't predictable done so badly did n't matter ending not worth stay away looked rushed also just n't really worth paid very mad maybe more disappointed expected really good got bad one not horrifibly bad n't reccomend gave 2 10 liked much did one super smart one also very cheap cover trying cover cheap masking not pretty anyway wait 1 50 pretty much then like one ",36, 63,?
"First yes did n't know already then let assume all now see manifest correct instead tedious ridiculously simplistic show human high engaged human-like almost human actually direct human theorizing not once do mention wagging disgusting even so far as show dressed human wearing expecting insightful own wanted learn OWN instead falling back pedantic anthropomorphic Add cheezy celebrating enough turn n't end there filmed not wild experimental crowded together sterile One particularly sobering quick notice captive made stress psychological imagine separated given wireframe prove 40 smug reaching brilliant One named concrete 1966 thus brief again concrete rather lackluster Personally n't need see further experimental entire ",36, 63,?
"rented last one greatest awhile not supposed funny just so ridiculous whatsoever called n't really regular go Not only pathetic topped enormous finding so-scary super plain funny tense supposed experience completely spoilt childish looking else very very very cheesy especially bad good make definitely see ",36, 63,?
"Yes No not undress show publicly naked so speak big state locked old nude artistic whatsoever 100 visual making look get Did used embarrass poor telling great very decent sensitive became unspeakably ashamed petty worrying Romanian many still so foolish declare visual ever expose all ",36, 63,?
"here started last only 3 so far awful original found 3 last droppingly ludicrous rang pass amazed did n't object 8 surly see lost good last next start investigating ",36, 63,?
"OK first filmed 80s shocked find released 2001 Secondly all confusing there brief better Also too much bizarre badly filmed did not flow smoothly odd hard follow maybe even hard understand love Chinese looking Chinese recommend visually stunning interesting good not Beware disappointed ",36, 63,?
"already turned pretty successful 1978 later get big virtually go wrong go wrong dreadful consisting wooden stupid unconvincing leaden pacing only 1-out-of-10 Egyptian infinitely more Hard believe working impressed Consequently beautiful incredibly rare keeping secretly very intense provide vital locating long-lost great 1922 tell more brutally murdered watching silent grisly yet tantalised seen track helped hindered various other truly trustworthy seemingly perhaps sinister ulterior Then Egyptian certain also hiding dangerous biggest generally result total n't less convincing female quite well-educated resourceful entire screaming helplessly busty teen rare actually n't running potential other brainless such taking 4 000 old heavy-handed say least mainly comprising predicted well n't even try enjoy dumb entertaining pacing awfully sluggish little found separated long famous declared Never before 2-hour so aptly summed 2 ",36, 63,?
"saw last really wanted like going ever heard made see spectacular disappointed Yet high sorely disappointed did n't like sometimes made however chose take worst put slightly darker still more common no more intelligent played best play well ultimately shoddy unremarkable more two dimensional even comic Most literally almost exactly same as evil cold just seeing quite predictably biggest n't huge top least said done veteran cared good corporate concentrate related even other doing same n't care real real out up now out worst quiet sober yet still deep not bad OK again not single memorable whole Not clearly meant look graceful even slightest still choreographed artificial badly written surprisingly well acted Unfortunately again winning about as eloquent favorite whole mostly more even figure only moving all trapped flooding sinking slowly immersed going come last rescue still n't help feel sorry said very haphazard said not returning trying find soon back open only one not happy see back Even happy back settle shown probably one dumbest big green stolen now yet still not able connect enough know using According only good lifting really really heavy all incredibly predictable ",36, 63,?
"turned Not n't good n't really expecting misled DVD ignorantly paraded Sure enough did not appear much less turned only three together equally obscure 1975 one do so paid 1 50 rental anyhow elected watch regardless yup stunk Apart no-name anonymous unmistakably amateurish visible away most do JAWS-like intentionally so resistible two moronic frequently bemused local looking imperfectly realized naturally as 1957 also just seen did n't seem bother as much especially second ",36, 63,?
"surely one strangest right up there impassioned subject play very questionable Russian most unconvincing English play n't interested one even great n't likely much interested bizarre fine unlikely unlikely Russian all sunk fetishistic ",36, 63,?
"saw hot came 1986 brief involving oral played mainstream Supposedly first ever show respected explicit saw boring high understandably older As mentioned very beautiful good also gave very good put mildly pretty poor never made Still infamous explicit pretty brief slow moving dull bored silly good only helped certain Mostly looking waiting patiently end did n't forgotten long ago slow skip one ",36, 63,?
"ALL First cheap-looking Secondly insult happen worser suffered said only chilling such 50 000 000 more dramatic First same flying Cleaver-esquire three complete big blond 1987 least frightened second n't full-length explaining down third final did male instruct remove there understand high sharp loose gonna make more safer now did n't know better knew going crash land force 100 injured cause peel bleed only walk stocking make hit more air just field-people same old 1975 so typical air-crash almost see damn least see poorly-acted back instead rejoicing impending staring Typical moronic stick cheap made-for-TV white middle-aged stupid teenage marital n't make anymore then watch utter then turning 1975 not cheap pathetic not recommend made-for-TV not even worst ",36, 63,?
"As much saying too other completely true first 30 whatsoever do endless following 90 banned somewhere n't make watchable Just n't resemble not make credible yet discernible other muddy many even very old so unnecessarily nauseating second well so devoid narrative n't write tried Do n't waste n't confuse good Russian ",36, 63,?
"really caught different last so mortified not even kidding walked thought approaching daring new presenting homosexual inspired inspired acting so dull bored figured one going pass uninspired seemed worse colored n't know maybe surreal afore mentioned erudite sorely lacking here understand ten ago got such bother cinematic new seen here ",36, 63,?
"found favorite went hard watching lame still First still even just awful treated especially played not get really unnecessary toned developed more much more passionate mystical did n't more dead bottom really lousy wasted here ",36, 63,?
"Even banned Prohibited Egyptian See great Great Great n't Need See ",36, 63,?
"black about then up Then two driving much hit skid inhabited wheelchair-bound old sadly very tame supposed ending silly predictable one involved ever make again So still happy sometimes topless full displayMy ",36, 63,?
"mean white Native long-lost back-projected stop keep clear decent honest white slaughter other hard tell not so wooden Even 1936 bad previous came express loathing one Open scream Place other palm pose 10 longer comfortable then quickly turn 90 away loathed sob difficult heavily emotionally charged explaining else Do make not move not show not move too much give leaden acting cunningly long much running Thus 35 padded 60ish so slow mental ex-zombiefied former ambling slowly then stabbing smashing oh yeah Let get destroyed manana just found hidden shot ironic shot even downtrodden n't want chase call back-projected hilarious worth alone camping totally wasted one interesting nice little zombied white falling evil spell one strange little cut watched silly ",36, 63,?
"just saw timer-taping grew watching major hard shocked literally shocked find seeing degenerate homicidal pretty good also completely different unfortunately poorly photographed never guessed million doing here pushing no no tease also 1964 thereabouts Most tedious main enormous running crazed roughed all boring time-filling Now made fondling unconscious nude only 20 ",36, 63,?
"still warm juicy made tried watch festering found easier slash slug back cleaner endure more ever watched saying once witnessed watched steaming moved better spent watching acting non-existent somewhere other saw seen early managed escape riding old heading becoming tell getting so desperately pretty clear heavy willing front needed n't give full painful ever done typed alone Let just looking pass start then shove straight n't feel anymore sure also going waste anyway as well wasting watched sent so see HE come too worse watch heard married now visit ",36, 63,?
"Well just gave away 95 47 never get back heard online subhuman thought promising thought psychological dynamic strong totally unrealistic enjoyable watch n't so controversial seen many plain real hot n't no n't remember down warned leave named unreasonably hysterical next n't find n't worry much more upset n't start impaled coaxing find remember shown grotesque including one made save even though all seen eating logically last real eat actual very hard unsuccessfully work Then good out think warned leave remarkable Then then random up watching shown inspired more killing blonde did not help There more killing Then mysterious n't know hopefully not ",36, 63,?
"so incredibly bad tell trying really hard polish all n't so obvious facile sad watching sell pacing so labored hard believe good signed said so awful hard looking away just know only caught actually PAID disgusted 2 least amusingly-fascinatingly bad incidental opposed trying-too-hard laughably reminiscent not as good ",36, 63,?
"Wow read sounded so awful see smell trying follow 5 later completely missed go chronologically short Short Apparently n't working back then probably called said hey making well not doing much not great n't carry sorry short 5 POSSIBLE funny enough telling leave find too weird actually happy there off burning down losing several sleeping including ever so young Then back decide actually somewhat clever stunk all falling asleep doped Sorry tarnished recently finished not sure do sleeping mega rich n't stop most powerful Once again funny though happy real n't afraid bare horrible n't believe made far Here veteran young really help cynical shot several thousand really just given caring never lawless probably get sued Even getting called committing there protect bless Once again funny intentionally whatsoever ashamed n't bad there pulled as well Iranian want removed horrible Then again watched only good did repeating Going again n't much longer Show one heading left that bad ",36, 63,?
"seen making laugh original considering forget Back here old nearly barbaric Full funny ancient sometimes disgusting Then foreseen tremendous first realize made general immediately justify needed second trying get back stolen do n't nice red shiny expensive bought 1st found Selling only one many avoid Let n't change just little more boring Regarding decided not compromise avoid getting stuck imitate found so pitiful nearly felt n't realize n't enough make good Forget digital see enough write 10 main let say 13 old ",36, 63,?
"n't recall walking once Not only 7 all wanted go uninteresting made did n't care good died did n't care bad got laid thick short fine spending ",36, 63,?
"n't say bad Unfortunately more about fencing worse simply due totally unrealistic fencing 14 old very poorly good most other actors--especially lost ",36, 63,?
"pieced together latest else duped believing actually supernatural Too bad not least thrilling young personal began depicting never met led murdered There face frequently appeared played now desperate very own really n't know begin here mention first atrocious acting hideous terribly bland one same simply downright moronic not interesting not compelling just plain unpleasant kept waiting jumpstart placed n't believe called actual due least give slight ever happened left unbearable freeze Not even stellar saved probably knew read then agreeing do acting so awful least choosing believe really n't pride immediate medical Now unmistakably bad n't quite crucify entirely Well n't such nice n't know first full-length just getting still learning Next around well next hopefully improved vastly only able accomplish here almost completely duplicating visual 2003 Now nice given that unfortunately still n't receiving else n't praise worthy Even very much enjoyed American now fork deserving almost imaginable Now n't doubt make small very small though n't surpass even parallel previous acting one last like add honestly say never embarrassed seen leaving seeing never experience again along ",36, 63,?
"Western fed poor only stronger Such more difficult accepted abroad Agreed poor homeless there educated not successful totally hated portraying shown very bad giving wrong unjust discuss only one Exactly hire not walk so full second contemporary Indian watch ",36, 63,?
"really vile urban not saying urban n't n't vile biscuit realistically imaginable not social white upper-middle turn local high play sound familiar pure violent really nasty disturbing dressed social same 2-5 so on so only remarkable so broke do ",36, 63,?
"First much better enjoyed one not even produced showing deep down human not ",36, 63,?
"only left did suck so much great so bad left completely unconnected did not all did take perfectly good all needed good smart telling never good released never released big whole just utterly laughable just potential turned awful one Just No ",36, 63,?
"n't remember cared less about come going greatest navel-gazing either too despicable too boring take worth followed did make possibly three did show redeeming ",36, 63,?
"pretentious lame Diabolical truly embarrassing acting Really worse ever seen total saw came walking more chatting there meagre quite sad one main present looked really sheepish that bad really not feel sympathetic start somewhere started acting truly awful made 5 gone sometimes still sad redeeming whatsoever gave 1 0 not available invent involved sorry moved better positive sank lower ",36, 63,?
"5 together write different different then make one western Sorry absolutely 4 5 giving awefully high said write barely write ",36, 63,?
"even n't believe dumped real pretty good taken still consistent loved first liked second always looked forward third finally go n't tell n't second completed Happened true original n't watch ",36, 63,?
"awful Give anytime one main here only assume expected entertain rather last looked hot more acting better more more n't even watch drunk ",36, 63,?
"just plain bad n't even worth watching make lunatic just plain annoying Even suspending allow glady good bad allowing exceedingly stupid even more looking random sexual looking else simply waste annoying bad rent ",36, 63,?
"watch real get wondrous cost all 50 make thin pathetically bad utterly laughable sometimes used equally dreadful all as never seen reading special lousy only sad dropped really nifty original up exactly full 90 so hard loved ",36, 63,?
"all loved seriously not else do lame thought actually give now even becoming personal ironic much more rewarding see instantly even get more often Instead 10 smiling n't much added come one seriously fake talking cornier actually seeing better more ",36, 63,?
"really n't describe bad thought bad least nice occasional good stroking here there stop nodding just laughable Terrible poor awful n't think single recommend other n't too long 100 worth far more enjoyable much better assuming Incidentally type 10 complete TERRIBLE ",36, 63,?
"good make very little meaningful constant seemingly unrelated confused clueless absolutely impossible follow presented meaningless listening do human show wrong real horrible including presented resorting such extreme absolutely NOT weak stomached easily offended not shown anti-climactic compared not listening probably miss one-shot down let talk n't necessarily bad rambling often complaining filming bad other constant otherwise essential understanding shot many ago four extremely low audio poor alone not make bad make bad worse ",36, 63,?
"little most foul ",36, 63,?
"not gone then fallen asleep asked back wrong set most hated one only saw so much not turned way overdone one anymore n't think even did then horrible said later Did n't Did n't sensous said yes only spare Now never married one worst ever seen ",36, 63,?
"done great written untalented set appealing somewhat surrealistic actual insufferable ",36, 63,?
"acting not much there n't really feel making not very effective just strange forcing down up that supposed scary gory just stupid really n't any getting blow-torched n't show anyway main bad saying make die slowly yet very fast all relatively quick did watch unrated So overall not worst seen not good n't miss one ",36, 63,?
"went see very low failed meet n't mind remember expect internally consistent leapt pausing all interspersed special lagged far even shape-shifting mystic curiously metamorphosed Caucasian antique popping get hapless latest special completely boned ancient Korean excellent paranormal gone unremarked kissing deserted never meant happen reincarnated long dead died star-crossed Mystic faceless robotic so much roaring chosen distract appalling acting wooden honest tedious However crowning rather let clear comparing short self indulgent lackluster narrative appeal melodramatic so prevalent popular not worth serious even not so-serious suggest altogether go straight not even sure worth much ",36, 63,?
"make next working oh sure fit made fit sucked n't think more 100 spent making Total released ",36, 63,?
"First foremost one worst ever seen supposed hip martial proud mysterious so over-dramatic plain horrible Did started filming Did n't martial Aside lame seen-it-already gross-out Masturbation Hmm Bad one 30 later Bad editing least five worth wasted also impossible believe four main male n't comment low-brow basic little smarter same solid romantic go witty accurate dating well agree ",36, 63,?
"mentally ill most hard segal tire horrendous 5 Even just stupid not just bad barely coherent Unbelievably wooden Literally seen better acting Ironically cash lesbian utterly cringe-worthy Special n't look 60 exhausted other n't make same did buy asking back ",36, 63,?
"Miraculously actually quite watchable bad really bad so-bad-it's-ruining-my-life bad so-bad-it's-mildly-entertaining bad enough faint rotten excruciating n't make mocking back propelling fluctuating working not not obviously so slapdash annoying translated same implied all topped horrendous Absolute ",36, 63,?
"same old n't get inject new keep eventually pretty bad acting stupidly all putting apparent going back forbidden enter Then young Admittedly good looking just pretty big Even came ",36, 63,?
"OK not American humble Scottish not never never funny long southerly funny due skilled other talented working contributed perfectly one funniest dateless ever produced even attempt replicate compound repeated unfunny abortive rekindle demonstrably unfunny say own say long forgotten treasured come ",36, 63,?
"involved embarrassed directing top other show thought first saw perhaps not not sure worse worst ever dreadful totally bonkers simply ",36, 63,?
"48 out 278 found useful counting such as much intellectually hollow as much do iconic spread such n't know worse captured one sit 4 typically Soderberghian n't made took so long referring secret Marxist take fascinated took one least talented liberal finally take irresistibly biased all even overrated often indulging similar politically one-sided yet somehow arguably most popular well-known n't American scale as much factual found here as other similar political fairy-tale such almost famous Argentinian Nevertheless however controversial criminal one take away intelligent came rich only visually interesting charismatic resemble physically intellectual whatsoever hence come too primitive such only sound most extremely slow there visually uninteresting Even brilliant carefully considered releasing 3-hour quite telling only made one two solid early think Oceanic up shown here then again last tedious full alleged n't wonder highly esteemed actually choose ignore earlier Did actually too uninteresting 600 much better over-praised easily fit not one two complete 4-hour never addressing negative dark more 90 spreading historical consciously ignoring ugly forbid taint holy not fake most pop very hard uphold only never tested like worst such often latent stupid supposedly siding red orange ever knowing become iconic clueless uninformed very often young somehow edgy intellectual interesting wearing only one overall total n't find more by-now clich become as common probably more blue ever read dead done one think finally laid rest never learn hundred million more ruined physically mentally won only surprise absolutely clueless other European vote headed not long ago music-related ",36, 63,?
"only good beautiful long boring retired strayed proclaimed many take vain Presbyterian n't fit wished swept very beginning spare silly smirkish selfish compulsive rescue very uninteresting prejudiced stood native American only maybe developed real wild western only sleepy two do 1 lame 2 make dumb scratching take tie rather watch never ",36, 63,?
"little stiff as first appeared Unfortunately one better played many quickly thereafter markedly missed lead as portrayed forced carry most n't do poor little overmuch ask plug blank talking also acting most memorable last 3 starring predictable rich thereafter haunt driving insane high fearing dead approaching predicted die less second English really only out utter Many one few never got hold much better not just as predictable more shorter kept expecting red appear ",36, 63,?
"Bad terrible totally unbelievable all seeing bothered absolutely say used create used again previous total ",36, 63,?
"know making set Just pad lovely super tight bump grind horrid did little kept watching bitter worst ever seen ready switch add stay put think beautiful working Strong avoid big ",36, 63,?
"go give 10 went bought fourth original best least watch worrying seeing ridiculous rather watch original horrible more as well not wearing do putting nasty there gotten only good come there went seen see looked ",36, 63,?
"Featured 1955 all star ranging silent exclusive psychiatric high No about exactly get pick psychiatric kidding n't believe watching unbelievable turned Progressive shrink involved needed new played mouthed get 2 monumental too So long kinda really became overly involved minute worry wasted thinking ",36, 63,?
"turning up two survive Bad horribly awful special speak ridiculous saddest compelled write one much less ten mandatory placed original merely one n't fly revise go more bad n't know so wait enough rather make cool So n't watch ",36, 63,?
"Not even worth watching tacky about almost cheapened poorly written low quality very clearly made yet found flick straight alright unbelievable so really draw lacked made original brilliant truly take all annoying over acted convince truly continued irritate say total ",36, 63,?
"unofficial X-77 new literally turn invisible top well X-77 even more literally wanted terrorist known use X-77 fly undetected worried one get back kill bad American British Romanian directed third directed equally awful 2006 2007 luckily decided n't working unsuspecting thankfully spared further two Apparently almost 1988 starring many same even sharing same so exactly same used even change admit never seen therefore compare two terrible poorly made written boring even not that slow poor full random poor very lazy overall never once anywhere proper military followed lame real boring as right down there worst made made largely n't even matched well change very abruptly too obvious watching other better spliced never even anywhere so badly edited hard tell breaking whole very cheap shoddy about 12 000 000 total so did go set torn arid filmed local actually shot Romanian not make convincing terrible one expect dubbed again terrible boring amateurish almost anyway really lazy poorly produced even more ",36, 63,?
"Please not waste 2 watching just n't Especially fortunate snoozing Damn waited happen never did not one stop watching always see huge watch dry far more entertaining not waste 2 watching just n't Especially fortunate snoozing Damn waited happen never did not one stop watching always see huge watch dry far more entertaining ",36, 63,?
"47 old spent as much remember silent black white big very few n't find like said give good very little n't seen really entertain good original good overcome poor bad bad good acting good still bad n't even good acting only good So only about pass one up ",36, 63,?
"excited came last thought make following actually written Wrong intending cast plain certainly succeeded However surely found one also act spooky floated seemingly nowhere flirted danced Finally changed One actually read ",36, 63,?
"cowardly offensive intrigued begin familiar dispossessed young frequently seen hanging around bored Instead getting wrong believe homicidal much real young one save poor young British out control very unsubtle made Iraqi needlessly graphic subjected male pushed young hateful modern male simply help inflicting terrible British invested such divisive still reeling recent first delighted last ",36, 63,?
"four hundred 400 live wild French stunned good outstanding 1 not first vague 1956 1958 1958 anterior Historically 400 2 vague sometimes ponderous hard doomed typically vague never heard read great already never discover French douce petite vague went as far saying worthless 3 400 technically rather disappointing very academic as linear such memorable got French 1960 understand ridiculous Well got only junior as got only high got know 1960 hardly 10 proud blame 4 Compared new new fragmented 400 master new only highly superior helped incomparable 5 rather stiff arguably listenable dubbed still decent soon degenerate most affected 6 stolen better not want demean not bad frankly French l'enfant honest true commercially uncompromizing l'argent academic 400 much more funny nice ",36, 63,?
"hybrid born second 23 one miserable very very bad forgive do so high not did said save ",36, 63,?
"possibly worst seen several apart very nice up give credible extreme supposed very mannered giving particularly poor fine not much better poorest good Perhaps make cringe Successful believing acting competent superb visual moving closer well produced Overall force keep watching certainly did n't keep Very disappointing latter nearly 40 watching 2 Might trying defend rather attack other so inadequately armed assume though regarding sufficient mannered bygone more taste personal pairing skilled charismatic act ",36, 63,?
"seen very terrible n't worst certainly lower off OK young hoping vault better future then straight killing harvesting 1 1 1 entire drag mental pretty much just cutting out then allowing haunted come steal cheesy special so ridiculously stupid begging still go looked Crypt somehow got stretched half doing best playing stereotypical frigid possible gave 2 only 1 pretty hot eased little 2 actually OK better current made avoid even pass still felt cheated take talking drunk 15 ",36, 63,?
"Naming absolutely most pathetic cinematic not easy so abundant 2 personal ever saw so funny rent again next again laughed so hard literally rolling usually only whole overwhelming firmly utterly confounded clumsy ever made supposed yet apparent whatsoever first same female took stop guessing outfit really merely prolonged only so slow-paced senseless calling chase sound way more interesting really almost just well considering then suddenly just abrupt blatant ever really explaining all about Luckily never boring silly phony going usually just tedious 2 perfect utter nonintentional truly entertaining buy even n't disappointed ",36, 63,?
"various other referred poorly done double obviously used reluctant do perhaps turned Otherwise not worse other typical Canadian other pointed Canadian generally poorly written most hoping get Perhaps Canadian consciously trying de-commercialize forgotten very important commercial ",36, 63,?
"basically Catholic getting putting red one one reprimanded take local meet other later stop awhile one walk happen local involved scared tell happened other go take two killed Then two remaining caught placed local deputy meanwhile keeping ignorant else just n't put two two together much less lousy best one rape actually raped bare good other low-budget staring same just different not renting not even 80 low-budget ending worst ending ever seen left wanting back ",36, 63,?
"admit laughed more watching last few saw consisted so low actual made watch made cardboard diving one hapless hard believe more realistic kept wondering did n't start shouting only wound worse one funniest seen past too horribly cheap geeky hysterical bad enough watchable seeing slow ",36, 63,?
"one giant utterly lost own bad about as comatose actually sleepwalking worst though ordinarily properly cast homosexual social bored n't more one dimensional cut bounced stick southern as still draining monotonous not worst played affect so clumsy barely deliver bad written incapable rolling real German several one Italian good cast else n't bad beginning end only tolerable came three supporting Only three managed make three excellent trapped really bad Ufortunately no ever good enough redeem endless three else not worth ",36, 63,?
"married thought help watching Swept then made nearly 20 trying become respected pronounced still n't get long enough turn even call decent so much feeling so inflated able just let go connect just blew last ",36, 63,?
"future fascist near fascist severely personal recurrent modern Such post undesirable watch effective also entertaining Unfortunately most probably more effective posting entertaining enough become really widely read usually other first such become really widely known probably 1984 first published 1948 still readily available read then feeling little depressed man 2000 low based same effortless unrewarding as 1984 now passed erstwhile Most laid just few genuinely funny exercise long focus gain new released finally disappear existing past many worse appearing frankly not care much So far best probably very happily swap all well made towering still incredible modern yet dared attempt only B-W silent made 1919 ",36, 63,?
"saw hit laughed whole seemed made insane back not ONE funny whole intentional awfully funny become gigantic carnivorous itty-bitty little perfectly intact now larger first put shocked only fall unconcious ANY medical n't let get started ridiculous decided needed create complaining only targetting kids-The raunchy disprove really accusing kinky video out making above-8 writing more intelligent thoroughly convinced get away still get family-friendly DVD ",36, 63,?
"so confused seemed quite angry yet figure made zero less zero make acting horrible searched few very few heard came absolutely n't decide feel sorry bad feel never offered acting again Starting Really though n't waste There so little there even just make undoubtedly one worst one worst ANY ever watch seen few ",36, 63,?
"going see 78 pretty seven Right came rented never seen feeling nostalgic ran forced drastically cut done primarily rotoscoping saying Much only very loosest very obviously just standing maybe superimposed top already pared even more not all bad found lacking nice imagine like decent also noteworthy never came Several later half-hearted half-hour long aired meant wrap say about ",36, 63,?
"n't know sick decided just go ahead see 102 first starring seemed sure just n't work 101 just worked better more appealing as well not really running trying act instead just actual human trying make sure appealing see behaving 102 n't really good proved now pleasant human now damaged all sudden loved changed crazy seeing back still determined get always wanted amazing very rated good let face made just more silly Also as cute just more stupid just not as believable n't really recommend 102 alright but first just just same 2-10 ",36, 63,?
"huge previous first twisted darkly hilarious right poor intriguing left bewildered supposed showing generic extracting infected completely unsatisfying explained extraterrestrial human did gratuitously sadistic misogynistic not just unleash completely lethal instead male kept hoping improve kept watching just got more pretentious preposterous religious simply seemed forced clear thought profound gave just unwatchable ",36, 63,?
"rich ailing courting just more precisely usual Actually applicable wandering meandering called appropriately titled lush luxurious nearly ready explode uninvited complete otherwise quite deadly even shun collective late-'60s reached here Pointless confused maddening catastrophe--although adapted own unsuccessful n't Stop Here said quite fond ",36, 63,?
"picked reading seemed good 5 watching noticed horrible so stupid whole fake not convincing n't end there almost ALL so badly laughable only acceptable early n't see again never even know did low n't believe released tempted many stop watching did decided stop watching turned off came check other thought found zero not surprised decided force handle go back finish then here comment only good going high-school occasional playing singing not worth Very bad acting directing Terrible ",36, 63,?
"absolute based so closely 13th practically accept Australian n't act Once young got burnt accidentally filming Now later all grown taking film cliche-ridden only out aspiring trying learn not able act Lead used star ended did happen ",36, 63,?
"complete rambling incoherent plumbing 70 shocked coherent However watching saddest lame functional just plain hard sit not mention terrible dubbed badly interesting reaching bare n't waste n't get either back ",36, 63,?
"saw 11 enjoyed So finally see came pass went knowing about see made However Omen saw brought such written there nonsense decent so Good V wasted did loud several bad 1 10 ",36, 63,?
"extremely poorly conceived technological stood watched waddle drained flashed wandering wondering just really bad admit classic question containing thinking writing right now actually plagiarized Obviously only aroused n't even n't stop n't old n't priority 1 obviously strengthened torn bet even won now official then real super captivating human different relate only just doing really internally n't admit fallen least not just watched again thought enjoyed now held then too watching again saw hated then too so much going sick going meanwhile got fantastic Now three-way only inner SUPERmoral gone human not not really elated made human again accepted not just bend help get again INERESTING not just using straight brute sell only use other saving Even Three caused suffering emotional sink thrown get very creative first three stop n't just access first one stop two going different then break universal erase save second one outsmart three already more POWERFUL combined immoral overpowering n't enough work one other outsmart again n't enough win outsmart calculated saw n't use straight calculated use benign only become deadly responded found acid earlier n't simply use chemical use n't carry froze dropped Now simply n't need figure just super shown just ran say threw getting stabbed dripping just averted n't looking ",36, 63,?
